seller_id,seller_zip_code_prefix,seller_city,seller_state,total_orders,average_price,total_revenue,average_delivery_time,average_monthly_transactions,average_distance_to_customers,seller_count_by_city,seller_count_by_state
3442f8959a84dea7ee197c632cb2df15,13023,campinas,SP,2.0,103.95,233.38,18.0,1.0,273.25316074671775,41,1849
d1b65fc7debc3361ea86b5f14c68d2e2,13844,mogi guacu,SP,23.0,176.44521739130437,4456.34,7.434782608695652,2.875,265.021678770736,8,1849
ce3ad9de960102d0677a81f5d0bb7b2d,20031,rio de janeiro,RJ,1.0,158.0,174.21,4.0,1.0,338.3847538014718,96,171
c0f3eea2e14555b6faeea3dd58c1b1c3,4195,sao paulo,SP,1.0,79.99,95.64999999999999,5.0,1.0,359.45986465736826,694,1849
51a04a8a6bdcb23deccc82b0b80742cf,12914,braganca paulista,SP,0.0,0.0,0.0,0.0,0.0,0.0,5,1849
c240c4061717ac1806ae6ee72be3533b,20920,rio de janeiro,RJ,0.0,0.0,0.0,0.0,0.0,0.0,96,171
e49c26c3edfa46d227d5121a6b6e4d37,55325,brejao,PE,17.0,67.46176470588235,1489.1,9.588235294117647,1.8888888888888888,0.0,1,9
1b938a7ec6ac5061a66a3766e0e75f90,16304,penapolis,SP,19.0,62.95263157894736,1602.1,-12.105263157894736,3.1666666666666665,534.4607404825692,5,1849
768a86e36ad6aae3d03ee3c6433d61df,1529,sao paulo,SP,16.0,35.15375,730.0500000000001,4.5625,5.333333333333333,193.46778119175707,694,1849
ccc4bbb5f32a6ab2b7066a4130f114e3,80310,curitiba,PR,3.0,172.26666666666665,573.74,11.0,1.0,935.5301836743662,127,349
8cb7c5ddf41f4d506eba76e9a4702a25,75110,anapolis,GO,2.0,69.0,182.37,-262.0,1.0,479.810220776712,3,40
a7a9b880c49781da66651ccf4ba9ac38,13530,itirapina,SP,3.0,78.56666666666668,287.09000000000003,9.0,1.0,256.1160952503727,1,1849
8bd0f31cf0a614c658f6763bd02dea69,1222,sao paulo,SP,20.0,66.49300000000001,1636.92,10.45,2.0,278.33488591373697,694,1849
05a48cc8859962767935ab9087417fbb,5372,sao paulo,SP,1.0,42.9,59.39,11.0,1.0,386.7304837320687,694,1849
7b8e8ec35bad4b0ef7e3963650b0a87b,88705,tubarao,SC,1.0,120.0,143.64,6.0,1.0,567.8391048667766,5,190
1444c08e64d55fb3c25f0f09c07ffcf2,42738,lauro de freitas,BA,0.0,0.0,0.0,0.0,0.0,0.0,2,19
166e8f1381e09651983c38b1f6f91c11,88780,imbituba,SC,2.0,39.4,109.0,14.0,1.0,550.0475657602444,2,190
e38db885400cd35c71dfd162f2c1dbcf,70740,brasilia,DF,29.0,64.5551724137931,2468.67,12.241379310344827,2.6363636363636362,832.3143699765955,28,30
d2e753bb80b7d4faa77483ed00edc8ca,45810,porto seguro,BA,6.0,85.14999999999999,622.9499999999999,12.333333333333334,1.5,756.4802817773189,1,19
f9ec7093df3a7b346b7bcf7864069ca3,5138,sao paulo,SP,8.0,45.15,459.14,3.75,4.0,146.43289068591983,694,1849
4e6015589b781adaa5ce7f1892d06bb1,11440,guaruja,SP,3.0,228.0,740.5,5.333333333333333,1.5,125.35850873883356,6,1849
4cf490a58259286ada5ba8525ba9e84a,14910,tabatinga,SP,7.0,153.6142857142857,1193.92,-3.2857142857142856,1.4,472.06354829846754,3,1849
f7496d659ca9fdaf323c0aae84176632,4156,sao paulo,SP,16.0,143.65562500000001,2598.0600000000004,11.8125,1.3333333333333333,204.3465887678431,694,1849
2ff97219cb8622eaf3cd89b7d9c09824,13320,salto,SP,86.0,45.91627906976744,5164.4,-5.813953488372093,12.285714285714286,270.15288210178653,9,1849
8bd0e3abda539b9479c4b44a691be1ec,98910,tres de maio,RS,5.0,37.769999999999996,268.24,23.8,1.0,816.96504700188,1,129
2a1348e9addc1af5aaa619b1a3679d6b,30494,belo horizonte,MG,52.0,53.37115384615385,3517.2000000000003,-0.75,3.466666666666667,391.1208770433579,68,244
2078fe5066350e7d220c0ad3a3bbc6c1,86707,arapongas,PR,0.0,0.0,0.0,0.0,0.0,0.0,10,349
116ccb1a1604bc88e4d234a8c23f33de,9850,sao bernardo do campo,SP,59.0,29.84220338983051,2499.23,8.389830508474576,5.9,227.73047475860855,32,1849
430315b7bb4b6e4b3c978f9dfa9b0558,4857,sao paulo,SP,11.0,45.85454545454545,664.4399999999999,11.909090909090908,1.8333333333333333,295.690253831553,694,1849
406822777a0b9eb5c50e442dd4cd3ec5,18500,tatui,SP,40.0,77.34225,3805.54,13.6,4.0,344.1448976326843,3,1849
4dbd95a08b31ede5c82d3f861cb1ce1a,80210,curitiba,PR,5.0,80.95400000000001,513.7,-67.0,1.6666666666666667,527.1192869146494,127,349
e9e446d01bd10a97a8ffcfc4a3a20cb2,2261,sao paulo,SP,4.0,15.0125,89.61,-144.0,2.0,36.73782400728146,694,1849
d52cbce9845184537284a23c3bc3da0e,88495,garopaba,SC,2.0,18.5,68.89,10.0,1.0,670.1515847243168,2,190
d9a84e1403de8da0c3aa531d6d108ba6,3562,sao paulo,SP,52.0,23.844230769230766,1849.73,-4.173076923076923,7.428571428571429,226.56925931346802,694,1849
9c690ceacd5c66731bf443ea810195cb,37650,camanducaia,MG,9.0,72.78888888888889,809.0,6.888888888888889,1.2857142857142858,219.16791100435205,1,244
1f9ab4708f3056ede07124aad39a2554,17602,tupa,SP,35.0,172.76999999999998,6813.28,6.0,2.3333333333333335,459.7397097684009,4,1849
1961c3e1272bfeceb05d0b78b5bbfdaf,7241,guarulhos,SP,3.0,225.66666666666666,716.74,-209.66666666666666,1.5,269.8037198552892,50,1849
d3e7d37c0df9aef383f3f2a15b0dddfb,83050,sao jose dos pinhais,PR,0.0,0.0,0.0,0.0,0.0,0.0,10,349
ec2e006556300a79a5a91e4876ab3a56,3445,sao paulo,SP,4.0,18.4,107.41999999999999,-273.5,1.3333333333333333,50.52617550577149,694,1849
b2a6d334e2833acea353624840e25a0e,4133,sao paulo,SP,24.0,64.63250000000001,1909.16,10.458333333333334,4.0,372.8939137836314,694,1849
d3674f271c91f824f82d24d92011f669,72233,brasilia,DF,18.0,74.36111111111111,1643.26,13.0,1.6363636363636365,655.93605774685,28,30
768de2a4fc06aacecb9a586ccc30746a,70645,brasilia,DF,14.0,33.97142857142857,713.53,-9.071428571428571,2.0,769.3020686903084,28,30
a81466620e46a6970b22ef40379fdfc9,88730,sao ludgero,SC,2.0,160.9,354.78000000000003,6.5,2.0,496.61800478956894,2,190
5c030029b5916fed0986310385ec9009,88075,sao jose,SC,1.0,260.0,279.14,1.0,1.0,2.7291173598041314,5,190
c0f783394e37cd9c9d7f5f81141450fa,13416,piracicaba,SP,6.0,41.56666666666666,336.75,12.833333333333334,3.0,394.99820007150015,12,1849
c353f8fc0ce8344999f17d578eb69a5e,90850,porto alegre,RS,2.0,87.99,212.57,9.5,1.0,0.0,28,129
8444e55c1f13cd5c179851e5ca5ebd00,37584,congonhal,MG,65.0,133.92384615384614,9766.429999999998,-27.50769230769231,4.333333333333333,330.7744264889965,1,244
28a26ebce31d5918b181ede016fd693b,31950,belo horizonte,MG,1.0,29.9,47.04,11.0,1.0,672.0583861709214,68,244
41ab63a91b8b264e8c8780368bf1dd5b,31555,belo horizonte,MG,9.0,191.03,1894.71,16.555555555555557,1.5,454.04636160235185,68,244
8759e7aedd644f487315e5860962f162,9251,santo andre,SP,0.0,0.0,0.0,0.0,0.0,0.0,45,1849
e546117ed9cafbc40239c0c78635c584,4705,sao paulo,SP,2.0,228.0,484.34,6.0,1.0,247.1573561481305,694,1849
d71d863e5ef30d94e440c11be17dcd8f,6144,osasco,SP,13.0,105.6846153846154,1585.44,-72.92307692307692,2.6,346.03376606060647,32,1849
0c7533c71df861ec58ad7ff999ed0e8d,13270,valinhos,SP,59.0,41.70169491525424,3173.9700000000003,10.35593220338983,4.916666666666667,346.60007227561164,7,1849
ef990a83bbea832f36ebe81376335aa8,89214,joinville,SC,40.0,102.37225000000001,4863.1900000000005,16.525,5.0,513.3525171581092,22,190
41e0fa5761c886a630994a55c12087e7,11446,guaruja,SP,5.0,84.72,491.91,9.6,1.6666666666666667,174.42686189107798,6,1849
0747d5bb69f0586cc869d8af4c50f93e,28990,saquarema,RJ,14.0,24.12142857142857,545.54,-21.714285714285715,2.3333333333333335,462.1626000903542,1,171
7d294cf9a6a69dc6a0c3e540fff0e039,88390,barra velha,SC,2.0,51.45,143.47,6.5,1.0,322.6017745618247,1,190
c89cf7c468a48af70aada384e722f9e2,25730,petropolis,RJ,14.0,53.214285714285715,971.01,13.857142857142858,1.75,391.7235682053447,6,171
b7ba853e9551f4558440881fd3e5c815,95500,santo antonio da patrulha,RS,2.0,188.4,414.79,28.5,2.0,0.0,1,129
13c2ed7698b3ca92dad49e849219da59,84010,ponta grossa,PR,8.0,57.3275,596.51,10.375,1.6,553.4028490301761,6,349
cbbd5ae8f53de5f5097cd8217b529e24,6544,santana de parnaiba,SP,0.0,0.0,0.0,0.0,0.0,0.0,9,1849
02ecc2a19303f05e59ce133fd923fff7,9121,santo andre,SP,17.0,204.8994117647059,3789.5299999999997,9.352941176470589,1.8888888888888888,338.58893448785517,45,1849
